fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-28,Enero,2021,Línea 4,Gratuidad,1813
2021-01-28,Enero,2021,Línea 5,Prepago,93698
2021-01-28,Enero,2021,Línea 5,Gratuidad,9755
2021-01-28,Enero,2021,Línea 6,Prepago,92110
2021-01-28,Enero,2021,Línea 6,Gratuidad,7456
2021-01-28,Enero,2021,Línea 7,Prepago,88255
2021-01-28,Enero,2021,Línea 7,Gratuidad,1245
2021-01-29,Enero,2021,Línea 1,Prepago,293664
2021-01-29,Enero,2021,Línea 1,Gratuidad,12972
2021-01-29,Enero,2021,Línea 2,Prepago,99823
2021-01-29,Enero,2021,Línea 2,Gratuidad,6850
2021-01-29,Enero,2021,Línea 3,Prepago,108825
2021-01-29,Enero,2021,Línea 3,Gratuidad,5843
2021-01-29,Enero,2021,Línea 4,Prepago,49049
2021-01-29,Enero,2021,Línea 4,Gratuidad,1886
2021-01-29,Enero,2021,Línea 5,Prepago,94433
2021-01-29,Enero,2021,Línea 5,Gratuidad,10055
2021-01-29,Enero,2021,Línea 6,Prepago,94117
2021-01-29,Enero,2021,Línea 6,Gratuidad,7827
2021-01-29,Enero,2021,Línea 7,Prepago,88622
2021-01-29,Enero,2021,Línea 7,Gratuidad,1176
2021-01-30,Enero,2021,Línea 1,Prepago,203333
2021-01-30,Enero,2021,Línea 1,Gratuidad,10060
2021-01-30,Enero,2021,Línea 2,Prepago,75473
2021-01-30,Enero,2021,Línea 2,Gratuidad,5336
2021-01-30,Enero,2021,Línea 3,Prepago,84481
2021-01-30,Enero,2021,Línea 3,Gratuidad,4485
2021-01-30,Enero,2021,Línea 4,Prepago,47809
2021-01-30,Enero,2021,Línea 4,Gratuidad,1797
2021-01-30,Enero,2021,Línea 5,Prepago,79516
2021-01-30,Enero,2021,Línea 5,Gratuidad,8351
2021-01-30,Enero,2021,Línea 6,Prepago,75445
2021-01-30,Enero,2021,Línea 6,Gratuidad,5783
2021-01-30,Enero,2021,Línea 7,Prepago,68307
2021-01-30,Enero,2021,Línea 7,Gratuidad,936
2021-01-31,Enero,2021,Línea 1,Prepago,122449
2021-01-31,Enero,2021,Línea 1,Gratuidad,7483
2021-01-31,Enero,2021,Línea 2,Prepago,46897
2021-01-31,Enero,2021,Línea 2,Gratuidad,3905
2021-01-31,Enero,2021,Línea 3,Prepago,48793
2021-01-31,Enero,2021,Línea 3,Gratuidad,3305
2021-01-31,Enero,2021,Línea 4,Prepago,20665
2021-01-31,Enero,2021,Línea 4,Gratuidad,1349
2021-01-31,Enero,2021,Línea 5,Prepago,54723
2021-01-31,Enero,2021,Línea 5,Gratuidad,6642
2021-01-31,Enero,2021,Línea 6,Prepago,42700
2021-01-31,Enero,2021,Línea 6,Gratuidad,4248
2021-01-31,Enero,2021,Línea 7,Prepago,42027
2021-01-31,Enero,2021,Línea 7,Gratuidad,632
2021-02-01,Febrero,2021,Línea 1,Prepago,126432
2021-02-01,Febrero,2021,Línea 1,Gratuidad,7352
2021-02-01,Febrero,2021,Línea 2,Prepago,59277
2021-02-01,Febrero,2021,Línea 2,Gratuidad,4750
2021-02-01,Febrero,2021,Línea 3,Prepago,52947
2021-02-01,Febrero,2021,Línea 3,Gratuidad,3048
2021-02-01,Febrero,2021,Línea 4,Prepago,34320
2021-02-01,Febrero,2021,Línea 4,Gratuidad,1489
2021-02-01,Febrero,2021,Línea 5,Prepago,69363
2021-02-01,Febrero,2021,Línea 5,Gratuidad,7656
2021-02-01,Febrero,2021,Línea 6,Prepago,58694
2021-02-01,Febrero,2021,Línea 6,Gratuidad,5556
2021-02-01,Febrero,2021,Línea 7,Prepago,53323
2021-02-01,Febrero,2021,Línea 7,Gratuidad,729
2021-02-02,Febrero,2021,Línea 1,Prepago,236739
2021-02-02,Febrero,2021,Línea 1,Gratuidad,11683
2021-02-02,Febrero,2021,Línea 2,Prepago,98359
2021-02-02,Febrero,2021,Línea 2,Gratuidad,7252
2021-02-02,Febrero,2021,Línea 3,Prepago,85659
2021-02-02,Febrero,2021,Línea 3,Gratuidad,5561
2021-02-02,Febrero,2021,Línea 4,Prepago,42684
2021-02-02,Febrero,2021,Línea 4,Gratuidad,1997
2021-02-02,Febrero,2021,Línea 5,Prepago,95369
2021-02-02,Febrero,2021,Línea 5,Gratuidad,10659
2021-02-02,Febrero,2021,Línea 6,Prepago,91945
2021-02-02,Febrero,2021,Línea 6,Gratuidad,8367
2021-02-02,Febrero,2021,Línea 7,Prepago,85793
2021-02-02,Febrero,2021,Línea 7,Gratuidad,1062
2021-02-03,Febrero,2021,Línea 1,Prepago,225881
2021-02-03,Febrero,2021,Línea 1,Gratuidad,11380
2021-02-03,Febrero,2021,Línea 2,Prepago,96939
2021-02-03,Febrero,2021,Línea 2,Gratuidad,6866
2021-02-03,Febrero,2021,Línea 3,Prepago,84652
2021-02-03,Febrero,2021,Línea 3,Gratuidad,5572
2021-02-03,Febrero,2021,Línea 4,Prepago,40438
2021-02-03,Febrero,2021,Línea 4,Gratuidad,1847
2021-02-03,Febrero,2021,Línea 5,Prepago,94635
2021-02-03,Febrero,2021,Línea 5,Gratuidad,10362
2021-02-03,Febrero,2021,Línea 6,Prepago,91810
2021-02-03,Febrero,2021,Línea 6,Gratuidad,7837
